,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_25_10/jsons/ct_0_25_10_4.json,0.807845027779284,0.7242997728993187,0.7393617021276596,0.719858851205646,1112,1429,392,3672
0,../result/ct_0_25_10/jsons/ct_0_25_10_2.json,0.7431120677729469,0.7426496634785689,0.5899280575539568,0.7744489621228333,574,1054,399,3619
0,../result/ct_0_25_10/jsons/ct_0_25_10_5.json,0.7857791212735578,0.8043109300746776,0.6017587939698492,0.8359497645211931,479,836,317,4260
0,../result/ct_0_25_10/jsons/ct_0_25_10_8.json,0.7077506745742462,0.7687482178500142,0.5386064030131826,0.8098118279569892,572,1132,490,4820
0,../result/ct_0_25_10/jsons/ct_0_25_10_9.json,0.760667320098881,0.740139211136891,0.6086529006882989,0.7667929041259717,619,1170,398,3847
0,../result/ct_0_25_10/jsons/ct_0_25_10_6.json,0.7259947468569038,0.749737302977233,0.5567502986857825,0.7828852862712908,466,1058,371,3815
0,../result/ct_0_25_10/jsons/ct_0_25_10_3.json,0.7338847336164427,0.8188615123194563,0.49370277078085645,0.8695737576114713,392,664,402,4427
0,../result/ct_0_25_10/jsons/ct_0_25_10_7.json,0.7944076560447639,0.7237507018528916,0.7280285035629454,0.7229504554543434,613,1247,229,3254
0,../result/ct_0_25_10/jsons/ct_0_25_10_1.json,0.798851280907408,0.7473764258555133,0.6810422282120395,0.7608934456243135,758,1306,355,4156
0,../result/ct_0_25_10/jsons/ct_0_25_10_0.json,0.7116314590736381,0.7625333728863839,0.4939759036144578,0.8137029842839484,533,1055,546,4608
