,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_25_10/jsons/ct_0_25_10_4.json,0.7398046821232381,0.5856169568508706,0.776595744680851,0.5293079788276809,1168,2401,336,2700
0,../result/ct_0_25_10/jsons/ct_0_25_10_2.json,0.7734108760193092,0.7288345731491321,0.6639260020554985,0.7423496683072972,646,1204,327,3469
0,../result/ct_0_25_10/jsons/ct_0_25_10_5.json,0.8102105405362763,0.6999321113374066,0.7650753768844221,0.689756671899529,609,1581,187,3515
0,../result/ct_0_25_10/jsons/ct_0_25_10_8.json,0.7965729919709212,0.738380382092957,0.6911487758945386,0.7468077956989247,734,1507,328,4445
0,../result/ct_0_25_10/jsons/ct_0_25_10_9.json,0.7979216778979003,0.7381504806098773,0.7099311701081613,0.7438708391469006,722,1285,295,3732
0,../result/ct_0_25_10/jsons/ct_0_25_10_6.json,0.7455197132616488,0.7283712784588441,0.5961768219832736,0.7510773650728504,499,1213,338,3660
0,../result/ct_0_25_10/jsons/ct_0_25_10_3.json,0.7934283694196356,0.7531011045029736,0.663727959697733,0.7670398742879592,527,1186,267,3905
0,../result/ct_0_25_10/jsons/ct_0_25_10_7.json,0.8352697816953848,0.6801422421860378,0.828978622327791,0.6522994890024439,698,1565,144,2936
0,../result/ct_0_25_10/jsons/ct_0_25_10_1.json,0.8417354996688713,0.7504182509505704,0.7816711590296496,0.7440497986085682,870,1398,243,4064
0,../result/ct_0_25_10/jsons/ct_0_25_10_0.json,0.7531578657094317,0.7870068229012163,0.5393883225208527,0.8341868267702631,582,939,497,4724
